iter	Passed	Remaining
0	133	133108
1	134	66966
2	135	45051
3	136	34085
4	138	27485
5	141	23421
6	143	20317
7	145	18025
8	147	16260
9	149	14848
10	151	13640
11	153	12614
12	154	11743
13	156	11017
14	158	10378
15	159	9822
16	161	9310
17	162	8887
18	164	8484
19	165	8118
20	166	7783
21	169	7520
22	170	7242
23	171	6985
24	172	6741
25	174	6519
26	175	6313
27	176	6119
28	177	5944
29	178	5767
30	179	5604
31	180	5452
32	181	5307
33	181	5170
34	182	5041
35	183	4919
36	184	4814
37	185	4706
38	186	4600
39	187	4504
40	188	4411
41	189	4321
42	190	4233
43	191	4153
44	192	4082
45	193	4006
46	194	3934
47	195	3869
48	196	3804
49	196	3741
50	197	3677
51	198	3619
52	199	3558
53	199	3502
54	200	3446
55	201	3394
56	202	3343
57	202	3295
58	203	3247
59	204	3201
60	204	3155
61	205	3111
62	206	3068
63	207	3027
64	207	2989
65	208	2952
66	209	2915
67	209	2877
68	210	2840
69	211	2805
70	211	2771
71	212	2738
72	213	2705
73	213	2674
74	214	2643
75	214	2612
76	215	2585
77	216	2558
78	217	2532
79	217	2505
80	218	2477
81	218	2451
82	219	2424
83	220	2402
84	221	2380
85	221	2357
86	222	2335
87	223	2313
88	223	2291
89	224	2269
90	225	2249
91	225	2229
92	226	2208
93	227	2189
94	227	2169
95	228	2150
96	228	2130
97	229	2112
98	230	2093
99	230	2076
100	231	2060
101	232	2043
102	232	2025
103	233	2008
104	233	1991
105	234	1976
106	235	1961
107	235	1946
108	236	1930
109	236	1914
110	237	1899
111	237	1884
112	238	1870
113	238	1857
114	239	1843
115	240	1830
116	240	1815
117	241	1803
118	241	1791
119	242	1779
120	243	1766
121	243	1753
122	244	1740
123	244	1728
124	245	1716
125	245	1704
126	246	1692
127	246	1681
128	247	1669
129	247	1658
130	248	1647
131	249	1637
132	249	1627
133	250	1617
134	250	1606
135	251	1595
136	251	1584
137	252	1575
138	252	1565
139	253	1555
140	253	1546
141	254	1536
142	254	1526
143	255	1517
144	255	1508
145	256	1500
146	256	1491
147	257	1482
148	258	1473
149	258	1464
150	259	1456
151	259	1448
152	260	1440
153	260	1432
154	261	1424
155	261	1415
156	262	1408
157	262	1399
158	263	1392
159	263	1384
160	264	1376
161	264	1369
162	265	1361
163	265	1354
164	266	1346
165	266	1340
166	267	1333
167	267	1326
168	268	1319
169	268	1312
170	269	1305
171	269	1298
172	270	1291
173	270	1285
174	271	1279
175	271	1273
176	272	1266
177	272	1260
178	273	1253
179	273	1247
180	274	1241
181	274	1235
182	275	1229
183	275	1223
184	276	1217
185	276	1211
186	277	1205
187	277	1200
188	278	1195
189	279	1189
190	279	1184
191	280	1178
192	280	1172
193	280	1167
194	281	1161
195	281	1156
196	282	1151
197	283	1146
198	283	1141
199	284	1136
200	284	1130
201	284	1125
202	285	1120
203	286	1116
204	286	1111
205	287	1106
206	287	1102
207	288	1097
208	288	1092
209	289	1087
210	289	1083
211	290	1078
212	290	1073
213	291	1069
214	291	1064
215	292	1060
216	292	1055
217	293	1051
218	293	1046
219	294	1042
220	294	1038
221	295	1033
222	295	1029
223	295	1025
224	296	1021
225	297	1017
226	297	1013
227	298	1009
228	298	1005
229	298	1000
230	299	996
231	299	992
232	300	989
233	301	985
234	301	981
235	302	977
236	302	974
237	303	970
238	303	966
239	304	963
240	304	959
241	305	956
242	305	953
243	306	949
244	307	946
245	307	942
246	308	939
247	308	936
248	309	932
249	309	929
250	310	925
251	310	922
252	311	919
253	311	915
254	312	912
255	313	909
256	313	906
257	314	903
258	314	899
259	315	897
260	315	894
261	316	891
262	316	888
263	317	885
264	317	881
265	318	878
266	319	875
267	319	872
268	320	869
269	320	866
270	321	864
271	321	861
272	322	858
273	322	855
274	323	852
275	324	849
276	324	847
277	325	844
278	325	842
279	326	839
280	326	836
281	327	833
282	327	830
283	328	827
284	328	825
285	329	822
286	329	819
287	330	816
288	330	814
289	331	811
290	332	809
291	332	806
292	333	803
293	333	801
294	334	798
295	334	796
296	335	793
297	336	791
298	336	789
299	337	786
300	337	784
301	338	782
302	338	779
303	339	777
304	340	774
305	340	772
306	341	769
307	341	767
308	342	765
309	342	762
310	343	760
311	343	758
312	344	755
313	344	753
314	345	751
315	346	749
316	346	746
317	347	744
318	347	742
319	348	740
320	348	737
321	349	735
322	349	733
323	350	731
324	351	729
325	351	727
326	352	725
327	352	722
328	353	720
329	353	718
330	354	716
331	354	713
332	355	711
333	356	709
334	356	707
335	357	705
336	357	703
337	358	701
338	358	699
339	359	697
340	359	695
341	360	693
342	361	691
343	361	689
344	362	687
345	362	685
346	363	683
347	363	681
348	364	679
349	365	678
350	365	676
351	366	674
352	366	672
353	367	670
354	367	668
355	368	666
356	369	665
357	370	663
358	370	661
359	371	660
360	371	658
361	372	656
362	372	654
363	373	652
364	373	650
365	374	648
366	375	647
367	375	645
368	376	643
369	376	641
370	377	639
371	378	638
372	378	636
373	379	634
374	379	632
375	380	631
376	380	629
377	381	627
378	381	625
379	382	623
380	382	622
381	383	620
382	384	618
383	384	617
384	385	615
385	385	613
386	386	611
387	386	610
388	387	608
389	388	606
390	388	605
391	389	603
392	389	602
393	390	600
394	390	598
395	391	597
396	392	595
397	392	594
398	393	592
399	393	590
400	394	589
401	394	587
402	396	586
403	396	585
404	397	583
405	397	581
406	398	579
407	398	578
408	399	576
409	399	575
410	400	573
411	400	572
412	401	570
413	401	569
414	402	567
415	403	565
416	403	564
417	404	562
418	404	561
419	405	560
420	405	558
421	406	556
422	407	555
423	407	553
424	408	552
425	408	550
426	409	549
427	409	547
428	410	546
429	410	544
430	411	543
431	412	541
432	412	540
433	413	538
434	413	537
435	414	536
436	414	534
437	415	533
438	415	531
439	416	530
440	417	528
441	417	527
442	418	525
443	418	524
444	419	523
445	419	521
446	420	520
447	421	518
448	421	517
449	422	516
450	423	515
451	423	513
452	424	512
453	424	510
454	425	509
455	425	508
456	426	506
457	427	505
458	427	504
459	428	502
460	428	501
461	429	500
462	429	498
463	430	497
464	431	495
465	431	494
466	432	493
467	432	491
468	433	490
469	433	489
470	434	487
471	435	486
472	435	485
473	436	484
474	436	482
475	437	481
476	437	480
477	438	478
478	439	477
479	439	476
480	440	474
481	440	473
482	441	472
483	442	471
484	442	470
485	443	468
486	444	467
487	444	466
488	445	465
489	445	463
490	446	462
491	446	461
492	447	460
493	448	459
494	448	457
495	449	456
496	449	455
497	450	454
498	450	452
499	451	451
500	452	450
501	452	449
502	453	447
503	453	446
504	454	445
505	455	444
506	456	443
507	456	442
508	457	441
509	458	440
510	458	438
511	459	437
512	459	436
513	460	435
514	461	434
515	462	433
516	463	432
517	463	431
518	464	430
519	465	429
520	465	428
521	466	426
522	466	425
523	467	424
524	467	423
525	468	422
526	469	421
527	469	420
528	470	418
529	471	417
530	471	416
531	472	415
532	472	414
533	473	413
534	473	411
535	474	410
536	475	409
537	475	408
538	476	407
539	477	406
540	477	405
541	478	404
542	478	403
543	479	402
544	480	401
